timestamp,outdoor_temperature_C,earth_skin_temperature_C,solar_radiation_W_m2,wind_speed_m_s,humidity_percent,Q_solar_W,Q_wall_W,Q_window_W,Q_roof_W,Q_floor_W,Q_infiltration_W,Q_total_loss_W,Q_internal_W,Q_net_W,indoor_temperature_C
2016-01-19 12:00:00,-13.42,0.0,243.07,0.76,65.17,425.3725,289.3628099173554,163.94,108.71868441660142,190.34482758620686,164.7597,917.1260219201636,0.0,-491.75352192016356,9.913076137652496
2016-01-19 13:00:00,-13.32,0.0,245.68,1.43,64.56,429.94,287.053296080913,162.63153296356748,107.85095954894597,188.69027682704058,163.4446906283853,909.6707560488522,0.0,-479.73075604885224,9.828277456313465
2016-01-19 14:00:00,-13.35,0.0,228.3,2.29,64.76,399.52500000000003,286.37623799329447,162.24794219419425,107.59657694677074,187.07617778913902,163.05918190516525,906.3561168285637,0.0,-506.83111682856367,9.738688431997764
2016-01-19 15:00:00,-13.51,0.0,136.65,2.74,67.22,239.13750000000002,287.24619178377395,162.74081902398433,107.9234338487727,185.37089705044016,163.55452311910426,906.8358648260754,0.0,-667.6983648260754,9.620664019021179
2016-01-19 16:00:00,-14.59,0.0,38.83,1.97,80.76,67.9525,299.1317579209641,169.47464813314826,112.38904957302863,183.12436339654104,170.322021373814,934.4418403974961,0.0,-866.4893403974961,9.467500702861912
2016-01-19 17:00:00,-16.33,0.0,0.0,2.27,68.85,0.0,318.7377152956905,180.5825049200334,119.75535173575992,180.2089788958543,181.48541744463355,980.7699682919717,0.0,-980.7699682919717,9.294136792044375
2016-01-19 18:00:00,-17.44,0.0,0.0,2.36,57.35,0.0,330.3102025132755,187.1389575443106,124.10333821710185,176.90908652443085,188.07465233203217,1006.536237131151,0.0,-1006.536237131151,9.116218356437589
2016-01-19 19:00:00,-18.18,0.0,0.0,2.32,49.39,0.0,337.25492927995197,191.07352849506313,126.71259390521693,173.5225011294327,192.02889613753842,1020.5924489472031,0.0,-1020.5924489472031,8.935815301673923
2016-01-19 20:00:00,-19.01,0.0,0.0,2.27,43.58,0.0,345.2809411239877,195.62070711171748,129.72810736751998,170.0886222939312,196.59881064727605,1037.3171885444324,0.0,-1037.3171885444324,8.752455930589694
2016-01-19 21:00:00,-20.02,0.0,0.0,2.24,39.85,0.0,355.4943935225751,201.40719151412785,133.56548062375543,166.5984715063969,202.4142274716985,1059.4797646385537,0.0,-1059.4797646385537,8.56517903451012
2016-01-19 22:00:00,-21.06,0.0,0.0,2.19,36.04,0.0,366.030104599939,207.37625324157082,137.52393211948,163.03375265688226,208.4131345077787,1082.3771771256509,0.0,-1082.3771771256509,8.373854721498235
2016-01-19 23:00:00,-22.15,0.0,0.0,2.14,34.5,0.0,377.13357693090785,213.66698305048763,141.69570147928076,159.3919933195526,214.73531796574005,1106.6235727459689,0.0,-1106.6235727459689,8.17824454115368
2016-01-20 00:00:00,-23.31,0.0,0.0,2.12,32.41,0.0,389.0489718101218,220.41771178807574,146.17252438524588,155.66865471437347,221.51980034701612,1132.827663044833,0.0,-1132.827663044833,7.978002445354435
2016-01-20 01:00:00,-24.39,0.0,0.0,2.06,31.9,0.0,399.9187078992138,226.57601711748106,150.2564749381841,151.85714999433267,227.70889720306846,1156.31724715228,0.0,-1156.31724715228,7.773608258549145
2016-01-20 02:00:00,-25.23,0.0,0.0,1.88,30.17,0.0,407.7718541035617,231.025257809844,153.2070397468123,147.9666123696251,232.18038409889323,1172.1511481287362,0.0,-1172.1511481287362,7.566415222793008
2016-01-20 03:00:00,-26.06,0.0,0.0,1.74,31.15,0.0,415.46686576921934,235.38490655955104,156.09819063486057,144.02280010281862,236.5618310923488,1187.5345941587982,0.0,-1187.5345941587982,7.356502961885364
2016-01-20 04:00:00,-26.94,0.0,0.0,1.71,32.26,0.0,423.7460489918894,240.07552073319755,159.20882502588603,140.02722879174897,241.27589833686355,1204.3335218795853,0.0,-1204.3335218795853,7.143621270936659
2016-01-20 05:00:00,-27.75,0.0,0.0,1.7,33.1,0.0,431.12366776901075,244.25534889655665,161.98072583720636,135.97513591575984,245.47662564103942,1218.811504059573,0.0,-1218.811504059573,6.928180407406599
2016-01-20 06:00:00,-28.5,0.0,0.0,1.75,33.66,0.0,437.72834470308146,247.9972628518462,164.4622188372015,131.87433051339457,249.23724916610544,1231.299406071629,0.0,-1231.299406071629,6.710532143975739
